variant,order,run,cycles_per_poly,rng_calls,rng_wait_cycles,rng_error_flags,checksum,stack_bytes
tree,6,8,3182829,22712,272544,0x00000000,0x8F9A5D4D,4588
tree,6,9,3182829,22712,272544,0x00000000,0xA1E0DB89,4588
tree,6,10,3182829,22712,272544,0x00000000,0x11407D49,4588
tree,6,11,3182829,22712,272544,0x00000000,0xA7A88761,4588
seq,7,1,12991924,123424,1481088,0x00000000,0x3568C324,2604
seq,7,2,12991924,123424,1481088,0x00000000,0xC2025A50,2604
seq,7,3,12991924,123424,1481088,0x00000000,0x595CA595,2604
seq,7,4,12991924,123424,1481088,0x00000000,0x7FEDF90C,2604
seq,7,5,12991924,123424,1481088,0x00000000,0x27F6D70A,2604
seq,7,6,12991924,123424,1481088,0x00000000,0xCA6F84FF,2604
seq,7,7,12991924,123424,1481088,0x00000000,0x7FD1F264,2604
seq,7,8,12991924,123424,1481088,0x00000000,0xCB72255C,2604
seq,7,9,12991924,123424,1481088,0x00000000,0xAE341075,2604
seq,7,10,12991924,123424,1481088,0x00000000,0x22AE67F8,2604
seq,7,11,12991924,123424,1481088,0x00000000,0xAFE8C65F,2604
tree,7,1,4026765,29936,359232,0x00000000,0xDC8B437D,4588
tree,7,2,4026765,29936,359232,0x00000000,0x6A4118A2,4588
tree,7,3,4026765,29936,359232,0x00000000,0x05CC65AA,4588
tree,7,4,4026765,29936,359232,0x00000000,0xE639DAC8,4588
tree,7,5,4026765,29936,359232,0x00000000,0xE655C3FC,4588
tree,7,6,4026765,29936,359232,0x00000000,0xD29AB83E,4588
tree,7,7,4026765,29936,359232,0x00000000,0x4568ACE2,4588
tree,7,8,4026765,29936,359232,0x00000000,0x09D4903E,4588
tree,7,9,4026765,29936,359232,0x00000000,0x81295D42,4588
tree,7,10,4026765,29936,359232,0x00000000,0x23883BF3,4588
tree,7,11,4026765,29936,359232,0x00000000,0xF57985B0,4588
seq,8,1,18533996,180288,2163456,0x00000000,0x97B6EA9B,2604
seq,8,2,18533996,180288,2163456,0x00000000,0x67832A33,2604
seq,8,3,18533996,180288,2163456,0x00000000,0xEE300AAE,2604
seq,8,4,18533996,180288,2163456,0x00000000,0xB776EC94,2604
seq,8,5,18533996,180288,2163456,0x00000000,0xA0B3EE5B,2604
seq,8,6,18533996,180288,2163456,0x00000000,0x6F5EE28F,2604
seq,8,7,18533996,180288,2163456,0x00000000,0xAE16ED5F,2604
seq,8,8,18533996,180288,2163456,0x00000000,0x09E78A1D,2604
seq,8,9,18533996,180288,2163456,0x00000000,0x5F9D90CB,2604
seq,8,10,18533996,180288,2163456,0x00000000,0xF16A0D6C,2604
seq,8,11,18533996,180288,2163456,0x00000000,0x27105E67,2604
tree,8,1,5126125,39768,477216,0x00000000,0x8216A1B4,5580
tree,8,2,5126125,39768,477216,0x00000000,0x131E8B3B,5580
tree,8,3,5126125,39768,477216,0x00000000,0xC8D34987,5580
tree,8,4,5126125,39768,477216,0x00000000,0x611BB33B,5580
tree,8,5,5126125,39768,477216,0x00000000,0xD07C73D1,5580
tree,8,6,5126125,39768,477216,0x00000000,0x436AF6A8,5580
tree,8,7,5126125,39768,477216,0x00000000,0xC412A0B2,5580
tree,8,8,5126125,39768,477216,0x00000000,0xFCFFEA0F,5580
tree,8,9,5126125,39768,477216,0x00000000,0x0090F226,5580
tree,8,10,5126125,39768,477216,0x00000000,0xEF8A8F53,5580
tree,8,11,5126125,39768,477216,0x00000000,0x80D8AC57,5580
